Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Percentage Change over 12 months for Residential Property Price Index,2014 May,West - houses,%,1.8
Percentage Change over 12 months for Residential Property Price Index,2014 May,Mid-East - houses,%,10.3
Percentage Change over 12 months for Residential Property Price Index,2014 May,Mid-West - houses,%,2.8
Percentage Change over 12 months for Residential Property Price Index,2014 May,South-East - houses,%,8.5
Percentage Change over 12 months for Residential Property Price Index,2014 May,South-West - houses,%,8.7
Percentage Change over 12 months for Residential Property Price Index,2014 June,National - houses,%,17.4
Percentage Change over 12 months for Residential Property Price Index,2014 June,Dublin - houses,%,27.1
Percentage Change over 12 months for Residential Property Price Index,2014 June,Dublin City - houses,%,31.5
Percentage Change over 12 months for Residential Property Price Index,2014 June,Dun Laoghaire-Rathdown - houses,%,23
Percentage Change over 12 months for Residential Property Price Index,2014 June,Fingal - houses,%,19.6
Percentage Change over 12 months for Residential Property Price Index,2014 June,South Dublin - houses,%,24.2
Percentage Change over 12 months for Residential Property Price Index,2014 June,National excluding Dublin - houses,%,7.7
Percentage Change over 12 months for Residential Property Price Index,2014 June,Border - houses,%,1
Percentage Change over 12 months for Residential Property Price Index,2014 June,Midland - houses,%,5
Percentage Change over 12 months for Residential Property Price Index,2014 June,West - houses,%,0.3
Percentage Change over 12 months for Residential Property Price Index,2014 June,Mid-East - houses,%,13.9
Percentage Change over 12 months for Residential Property Price Index,2014 June,Mid-West - houses,%,6.7
Percentage Change over 12 months for Residential Property Price Index,2014 June,South-East - houses,%,9.5
Percentage Change over 12 months for Residential Property Price Index,2014 June,South-West - houses,%,7.1
Percentage Change over 12 months for Residential Property Price Index,2014 July,National - houses,%,18
Percentage Change over 12 months for Residential Property Price Index,2014 July,Dublin - houses,%,27.4
Percentage Change over 12 months for Residential Property Price Index,2014 July,Dublin City - houses,%,33.8
Percentage Change over 12 months for Residential Property Price Index,2014 July,Dun Laoghaire-Rathdown - houses,%,22.2
Percentage Change over 12 months for Residential Property Price Index,2014 July,Fingal - houses,%,22
Percentage Change over 12 months for Residential Property Price Index,2014 July,South Dublin - houses,%,26.5
Percentage Change over 12 months for Residential Property Price Index,2014 July,National excluding Dublin - houses,%,8.3
Percentage Change over 12 months for Residential Property Price Index,2014 July,Border - houses,%,-1.9
Percentage Change over 12 months for Residential Property Price Index,2014 July,Midland - houses,%,5.4
Percentage Change over 12 months for Residential Property Price Index,2014 July,West - houses,%,0.9
Percentage Change over 12 months for Residential Property Price Index,2014 July,Mid-East - houses,%,16.7
Percentage Change over 12 months for Residential Property Price Index,2014 July,Mid-West - houses,%,6.4
Percentage Change over 12 months for Residential Property Price Index,2014 July,South-East - houses,%,9.1
Percentage Change over 12 months for Residential Property Price Index,2014 July,South-West - houses,%,9.5
Percentage Change over 12 months for Residential Property Price Index,2014 August,National - houses,%,18.3
Percentage Change over 12 months for Residential Property Price Index,2014 August,Dublin - houses,%,26.1
Percentage Change over 12 months for Residential Property Price Index,2014 August,Dublin City - houses,%,33.4
Percentage Change over 12 months for Residential Property Price Index,2014 August,Dun Laoghaire-Rathdown - houses,%,22.1
Percentage Change over 12 months for Residential Property Price Index,2014 August,Fingal - houses,%,22.3
Percentage Change over 12 months for Residential Property Price Index,2014 August,South Dublin - houses,%,27.5
Percentage Change over 12 months for Residential Property Price Index,2014 August,National excluding Dublin - houses,%,10.1
Percentage Change over 12 months for Residential Property Price Index,2014 August,Border - houses,%,0.5
Percentage Change over 12 months for Residential Property Price Index,2014 August,Midland - houses,%,10.7
Percentage Change over 12 months for Residential Property Price Index,2014 August,West - houses,%,2
Percentage Change over 12 months for Residential Property Price Index,2014 August,Mid-East - houses,%,19.4
Percentage Change over 12 months for Residential Property Price Index,2014 August,Mid-West - houses,%,3
Percentage Change over 12 months for Residential Property Price Index,2014 August,South-East - houses,%,11.9
Percentage Change over 12 months for Residential Property Price Index,2014 August,South-West - houses,%,10.4
Percentage Change over 12 months for Residential Property Price Index,2014 September,National - houses,%,18.3
Percentage Change over 12 months for Residential Property Price Index,2014 September,Dublin - houses,%,25.9
Percentage Change over 12 months for Residential Property Price Index,2014 September,Dublin City - houses,%,33.8
Percentage Change over 12 months for Residential Property Price Index,2014 September,Dun Laoghaire-Rathdown - houses,%,22.4
Percentage Change over 12 months for Residential Property Price Index,2014 September,Fingal - houses,%,22.4
Percentage Change over 12 months for Residential Property Price Index,2014 September,South Dublin - houses,%,28.3
Percentage Change over 12 months for Residential Property Price Index,2014 September,National excluding Dublin - houses,%,10.3
Percentage Change over 12 months for Residential Property Price Index,2014 September,Border - houses,%,-0.8
Percentage Change over 12 months for Residential Property Price Index,2014 September,Midland - houses,%,11.3
Percentage Change over 12 months for Residential Property Price Index,2014 September,West - houses,%,5
Percentage Change over 12 months for Residential Property Price Index,2014 September,Mid-East - houses,%,19.6
Percentage Change over 12 months for Residential Property Price Index,2014 September,Mid-West - houses,%,3.1
Percentage Change over 12 months for Residential Property Price Index,2014 September,South-East - houses,%,14.1
Percentage Change over 12 months for Residential Property Price Index,2014 September,South-West - houses,%,10.2
Percentage Change over 12 months for Residential Property Price Index,2014 October,National - houses,%,18.9
Percentage Change over 12 months for Residential Property Price Index,2014 October,Dublin - houses,%,25.8
Percentage Change over 12 months for Residential Property Price Index,2014 October,Dublin City - houses,%,34.7
Percentage Change over 12 months for Residential Property Price Index,2014 October,Dun Laoghaire-Rathdown - houses,%,21.4
Percentage Change over 12 months for Residential Property Price Index,2014 October,Fingal - houses,%,22
Percentage Change over 12 months for Residential Property Price Index,2014 October,South Dublin - houses,%,29.6
Percentage Change over 12 months for Residential Property Price Index,2014 October,National excluding Dublin - houses,%,11.7
Percentage Change over 12 months for Residential Property Price Index,2014 October,Border - houses,%,1.8
Percentage Change over 12 months for Residential Property Price Index,2014 October,Midland - houses,%,13.5
Percentage Change over 12 months for Residential Property Price Index,2014 October,West - houses,%,5.5
Percentage Change over 12 months for Residential Property Price Index,2014 October,Mid-East - houses,%,21
Percentage Change over 12 months for Residential Property Price Index,2014 October,Mid-West - houses,%,5
Percentage Change over 12 months for Residential Property Price Index,2014 October,South-East - houses,%,14.2
Percentage Change over 12 months for Residential Property Price Index,2014 October,South-West - houses,%,10.9
Percentage Change over 12 months for Residential Property Price Index,2014 November,National - houses,%,19.1
Percentage Change over 12 months for Residential Property Price Index,2014 November,Dublin - houses,%,24.6
